Title,Genre,Runtime (mins),Language,Total Hours,Total Views,Release Date,Year,IMDb Rating,Metascore,Directors,Star1,Star2,Star3,Age_Rating,Num Votes,Budget ($)
Looop Lapeta,Comedy,131,Hindi,4900000,2200000,04/02/2022,2022,5.2,,Aakash Bhatia,Taapsee Pannu,Tahir Raj Bhasin,K.C. Shankar,15,4962,4000000
Tall Girl 2,Teen Romantic Comedy,101,English,56650000,33700000,11/02/2022,2022,4.7,35,Emily Ting,Ava Michelle,Griffin Gluck,Anjelika Washington,PG,5679,24400000
Fistful of Vengeance,Action,96,English,25860000,16200000,17/02/2022,2022,4.4,44,Roel Reine,Iko Uwais,Lewis Tan,Pearl Thusi,15,7253,15000000
Texas Chainsaw Massacre,Horror,83,English,46620000,33700000,18/02/2022,2022,4.7,34,David Blue Garcia,Sarah Yarkin,Elsie Fisher,Jacob Latimore,R,57674,20000000
The Weekend Away,Thriller,91,English,79950000,52700000,03/03/2022,2022,5.7,51,Kim Farrant,Leighton Meester,Christina Wolfe,Luke Norris,PG-13,27742,15000000
The Adam Project,Science Fiction,106,English,260520000,147500000,11/03/2022,2022,6.7,55,Shawn Levy,Ryan Reynolds,Walker Scobell,Jennifer Garner,PG-13,217948,116000000
Rescued by Ruby,Drama,93,English,43350000,28000000,17/03/2022,2022,7.2,,Katt Shea,Grant Gustin,Scott Wolf,Camille Sullivan,G,9873,8000000
Windfall,Thriller,92,English,23850000,15600000,18/03/2022,2022,5.7,52,Charlie McDowell,Jason Segel,Lily Collins,Omar Leyva,R,25475,15000000
The Bubble,Comedy,126,English,22400000,10700000,01/04/2022,2022,4.7,34,Judd Apatow,Harry Trevaldwyn,Samson Kayo,Danielle Vitalis,R,27369,100000000
Metal Lords,Comedy-Drama,98,English,8740000,5400000,08/04/2022,2022,6.7,59,Peter Sollett,Jaeden Martell,Adrian Greensmith,Noah Urrea,R,30807,42000000
Choose or Die,Horror,85,English,31260000,22100000,15/04/2022,2022,4.8,43,Toby Meakins,Iola Evans,Asa Butterfield,Angela Griffin,15,24125,5000000
Silverton Siege,Action,101,English,31430000,18700000,27/04/2022,2022,6.3,,Mandla Dube,Thabo Rametsi,Arnold Vosloo,Stefan Erasmus,15,4286,7000000
Along for the Ride,Drama,107,English,24150000,13500000,06/05/2022,2022,6.1,55,Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth,PG-13,8280,6000000
Thar,Western ,108,Hindi,7880000,4400000,06/05/2022,2022,6.1,,Raj Singh Chaudhary,Anil Kapoor,Harshvardhan Kapoor,Jitendra Joshi,15,7721,2000000
Senior Year,Comedy,113,English,167600000,89000000,13/05/2022,2022,5.5,47,Alex Hardcastle,Rebel Wilson,Angourie Rice,Molly Brown,R,41637,15000000
Toscana,Drama,90,Danish,37090000,24700000,18/05/2022,2022,5.7,,Mehdi Avaz,Anders Matthesen,Christiana Dell'Anna,Sebastian Jessen,15,8928,5000000
A Perfect Pairing,Romantic Comedy,102,English,91610000,53900000,19/05/2022,2022,6.1,55,Stuart McDonald,Victoria Justice,Adam Demos,Samantha Cain,PG-13,15275,12000000
F*ck Love Too,Romantic Comedy,92,Dutch,30770000,20100000,20/05/2022,2022,3.8,,"Appie Boudellah, Aram van de Rest",Bo Maerten,Geza Weisz,Yolanthe Cabau,15,1400,4000000
Interceptor,Action,98,English,89410000,54700000,03/06/2022,2022,4.6,51,Matthew Reilly,Elsa Pataky,Luke Bracey,Mayen Mehta,15,26122,15000000
Hustle,Sports Drama,118,English,198310000,100800000,08/06/2022,2022,7.3,68,Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster,R,134932,21000000
Trees of Peace,Drama,98,English,9380000,5700000,10/06/2022,2022,6.5,,Alanna Brown,Eliane Umuhire,Charmaine Bingwa,Bola Koleosho,15,1630,800000
Spiderhead,Science Fiction,107,English,83220000,46700000,17/06/2022,2022,5.5,54,Joseph Kosinski,Chris Hemsworth,Miles Teller,Mark Paguio,R,63144,100000000
Love & Gelato,Romance,112,English,44690000,23900000,22/06/2022,2022,5.2,,Brandon Camp,Susanna Skaggs,Tobia De Angelis,Valentina Lodovini,PG-13,6039,8000000
The Man from Toronto,Action,110,English,170820000,93200000,24/06/2022,2022,5.8,34,Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,PG-13,55512,75000000
"Hello, Goodbye, and Everything in Between",Romantic Comedy,84,English,16430000,11700000,06/07/2022,2022,5.1,54,Michael Lewen,Jordan Fisher,Talia Ryder,Nico Hiraga,PG-13,3804,5000000
The Sea Beast,Animation,119,English,190150000,95900000,08/07/2022,2022,7,74,Chris Williams,Karl Urban,Zaris-Angel Hator,Marianne Jean-Baptiste,PG,53852,55000000
Persuasion,Drama,109,English,68830000,37900000,15/07/2022,2022,5.8,42,Carrie Cracknell,Richard E. Grant,Henry Golding,Yolanda Kettle,PG,32807,15000000
Jaadugar,Sports Drama,167,Hindi,7370000,2600000,15/07/2022,2022,6.9,,Sameer Saxena,Jitendra Kumar,Arushi Sharma,Raksha Panwar,PG-13,11167,500000
The Gray Man,Spy Thriller,129,English,265980000,123700000,22/07/2022,2022,6.5,49,"Anthony Russo, Joe Russo",Ryan Gosling,Chris Evans,Ana de Armas,PG-13,222523,200000000
Purple Hearts,Romance,122,English,240480000,118300000,29/07/2022,2022,6.7,30,Elizabeth Allen Rosenbaum,Sofia Carson,Nicholas Galitzine,John Harlan Kim,PG-13,44773,2800000
Wedding Season,Comedy,97,English,37610000,23300000,04/08/2022,2022,6.3,57,Tom Dey,Pallavi Sharda,Suraj Sharma,Sean Kleier,PG,10240,7000000
Darlings,Comedy-Drama,134,Hindi,32280000,14500000,05/08/2022,2022,6.6,,Jasmeet K Reen,Alia Bhatt,Shefali Shah,Roshan Mathew,PG-13,20047,5000000
Day Shift,Action,113,English,149810000,79500000,12/08/2022,2022,6.1,51,J.J. Perry,Jamie Foxx,Dave Franco,Meagan Good,R,84905,100000000
Look Both Ways,Romantic Comedy,111,English,89730000,48500000,17/08/2022,2022,6.3,49,Wanuri Kahiu,Lili Reinhart,Danny Ramirez,Jaden Tolliver,PG-13,22068,10000000
The Next 365 Days,Erotic Thriller,113,English,75390000,40000000,19/08/2022,2022,2.8,39,Barbara Bialowas,Anna-Maria Sieklucka,Michele Morrone,Simone Susinna,15,8377,10000000
That's Amor,Romantic Comedy,96,English,27890000,17400000,25/08/2022,2022,5.3,,Shaun Paul Piccinino,Riley Dandy,Isaac Gonzalez Rossi,Daniel Edward Mora,PG-13,3541,5000000
Loving Adults,Thriller,105,Danish,72720000,41600000,26/08/2022,2022,6.5,,Barbara Topsoe-Rothenborg,Dar Salim,Sonja Richter,Sus Noreen Jondahl Wilkins,15,11883,12000000
Me Time,Comedy,104,English,150590000,86900000,26/08/2022,2022,5.1,25,John Hamburg,Kevin Hart,Mark Wahlberg,Che Tafari,R,37822,80000000
I Came By,Thriller,110,English,64950000,35400000,31/08/2022,2022,6.2,57,Babak Anvari,Hugh Bonneville,Percelle Ascott,Antonio Aakeel,15,30635,9000000
Love in the Villa,Romantic Comedy,115,English,79620000,41500000,01/09/2022,2022,5.4,50,Mark Steven Johnson,Kat Graham,Tom Hopper,Laura Hopper,PG-13,12088,10000000
End of the Road,Thriller,91,English,62940000,41500000,09/09/2022,2022,4.8,44,Millicent Shelton,Queen Latifah,Ludacris,Shaun Dixon,R,8297,15000000
Do Revenge,Comedy,118,English,85140000,43300000,16/09/2022,2022,6.3,66,Jennifer Kaytin Robinson,Camila Mendes,Maya Hawke,Rish Shah,15,45565,10000000
I Used to Be Famous,Drama,104,English,11630000,6700000,16/09/2022,2022,6.6,60,Eddie Sternberg,Ed Skrein,Eleanor Matsuura,Eoin Macken,PG-13,9952,7500000
Jogi,Drama,116,Hindi,3080000,1600000,16/09/2022,2022,7.1,,Ali Abbas Zafar,Diljit Dosanjh,Kumud Mishra,Hiten Tejwani,15,6143,2000000
A Jazzman's Blues,Drama,128,English,23490000,11000000,23/09/2022,2022,6.7,62,Tyler Perry,Joshua Boone,Amirah Vann,Austin Scott,R,3936,15000000
Lou,Thriller,107,English,99360000,55700000,23/09/2022,2022,6.1,51,Anna Foerster,Allison Janney,Jurnee Smollett,Ridley Asha Bateman,R,30790,3300000
Blonde,Biographical Drama,167,English,60840000,21900000,28/09/2022,2022,5.5,50,Andrew Dominik,Ana de Armas,Lily Fisher,Tygh Runyan,R,67628,22000000
Anikulapo,Drama,142,Yoruba,14440000,6100000,30/09/2022,2022,5.5,,Kunle Afolayan ,Adebowale Adedayo,Aderemi Adedeji,Bimbo Ademoye,15,422,2000000
